delay,srv_pkt_loss,srv_delay,srv_jitter,srv_duplicate,srv_corrupt,srv_reorder,srv_rate,cli_pkt_loss,cli_delay,cli_jitter,cli_duplicate,cli_corrupt,cli_reorder,cli_rate
,0,2ms,0,0,0,0,500,0,2ms,0,0,0,0,500
,0,2ms,0,0,0,2,500,0,2ms,0,0,0,2,500
,0,2ms,0,0,0,4,500,0,2ms,0,0,0,4,500
,0,2ms,0,0,0,6,500,0,2ms,0,0,0,6,500
,0,2ms,0,0,0,8,500,0,2ms,0,0,0,8,500
,0,2ms,0,0,0,10,500,0,2ms,0,0,0,10,500
,0,2ms,0,0,0,12.5,500,0,2ms,0,0,0,12.5,500
,0,2ms,0,0,0,15,500,0,2ms,0,0,0,15,500
,0,2ms,0,0,0,17.5,500,0,2ms,0,0,0,17.5,500
,0,5ms,0,0,0,0,500,0,5ms,0,0,0,0,500
,0,5ms,0,0,0,2,500,0,5ms,0,0,0,2,500
,0,5ms,0,0,0,4,500,0,5ms,0,0,0,4,500
,0,5ms,0,0,0,6,500,0,5ms,0,0,0,6,500
,0,5ms,0,0,0,8,500,0,5ms,0,0,0,8,500
,0,5ms,0,0,0,10,500,0,5ms,0,0,0,10,500
,0,5ms,0,0,0,12.5,500,10,5ms,0,0,0,12.5,500
,0,5ms,0,0,0,15,500,0,5ms,0,0,0,15,500
,0,5ms,0,0,0,17.5,500,0,5ms,0,0,0,17.5,500
,0,15ms,0,0,0,0,500,0,15ms,0,0,0,0,500
,0,15ms,0,0,0,2,500,0,15ms,0,0,0,2,500
,0,15ms,0,0,0,4,500,0,15ms,0,0,0,4,500
,0,15ms,0,0,0,6,500,0,15ms,0,0,0,6,500
,0,15ms,0,0,0,8,500,0,15ms,0,0,0,8,500
,0,15ms,0,0,0,10,500,0,15ms,0,0,0,10,0,0,500
,0,15ms,0,0,0,12.5,500,0,15ms,0,0,0,12.5,500
,0,15ms,0,0,0,15,500,0,15ms,0,0,0,15,500
,0,15ms,0,0,0,17.5,500,0,15ms,0,0,0,17.5,500
,0,35ms,0,0,0,0,500,0,35ms,0,0,500
,0,35ms,0,0,0,2,500,0,35ms,0,0,0,2,500
,0,35ms,0,0,0,4,500,0,35ms,0,0,0,4,500
,0,35ms,0,0,0,6,500,0,35ms,0,0,0,6,500
,0,35ms,0,0,0,8,500,0,35ms,0,0,0,8,500
,0,35ms,0,0,0,10,500,0,35ms,0,0,0,10,500
,0,35ms,0,0,0,12.5,500,0,35ms,0,0,0,12.5,500
,0,35ms,0,0,0,15,500,0,35ms,0,0,0,15,500
,0,35ms,0,0,0,17.5,500,0,35ms,0,0,0,17.5,500
,0,72ms,0,0,0,0,500,0,72ms,0,0,0,0,500
,0,72ms,0,0,0,2,500,0,72ms,0,0,0,2,500
,0,72ms,0,0,0,4,500,0,72ms,0,0,0,4,500
,0,72ms,0,0,0,6,500,0,72ms,0,0,0,6,500
,0,72ms,0,0,0,8,500,0,72ms,0,0,0,8,500
,0,72ms,0,0,0,10,500,0,72ms,0,0,0,10,500
,0,72ms,0,0,0,12.5,500,0,72ms,0,0,0,12.5,500
,0,72ms,0,0,0,15,500,0,72ms,0,0,0,15,500
,0,72ms,0,0,0,17.5,500,0,72ms,0,0,0,17.5,500
,0,122ms,0,0,0,0,500,0,122ms,0,0,0,0,500
,0,122ms,0,0,0,2,500,0,122ms,0,0,0,2,500
,0,122ms,0,0,0,4,500,0,122ms,0,0,0,4,500
,0,122ms,0,0,0,6,500,0,122ms,0,0,0,6,500
,0,122ms,0,0,0,8,500,0,122ms,0,0,0,8,500
,0,122ms,0,0,0,10,500,0,122ms,0,0,0,10,500
,0,122ms,0,0,0,12.5,500,0,122ms,0,0,0,12.5,500
,0,122ms,0,0,0,15,500,0,122ms,0,0,0,15,500
,0,122ms,0,0,0,17.5,500,0,122ms,0,0,0,17.5,500
,0,192ms,0,0,0,0,500,0,192ms,0,0,0,0,500
,0,192ms,0,0,0,2,500,0,192ms,0,0,0,2,500
,0,192ms,0,0,0,4,500,0,192ms,0,0,0,4,500
,0,192ms,0,0,0,6,500,0,192ms,0,0,0,6,500
,0,192ms,0,0,0,8,500,0,192ms,0,0,0,8,500
,0,192ms,0,0,0,10,500,0,192ms,0,0,0,10,0,500
,0,192ms,0,0,0,12.5,500,0,192ms,0,0,0,12.5,500
,0,192ms,0,0,0,15,500,0,192ms,0,0,0,15,500
,0,192ms,0,0,0,17.5,500,0,192ms,0,0,0,17.5,500
