delay,srv_pkt_loss,srv_delay,srv_jitter,srv_duplicate,srv_corrupt,srv_reorder,srv_rate,cli_pkt_loss,cli_delay,cli_jitter,cli_duplicate,cli_corrupt,cli_reorder,cli_rate
,0,2ms,0,0,0,0,500,0,2ms,0,0,0,0,500
,0,2ms,0,2,0,0,500,0,2ms,0,2,0,0,500
,0,2ms,0,4,0,0,500,0,2ms,0,4,0,0,500
,0,2ms,0,6,0,0,500,0,2ms,0,6,0,0,500
,0,2ms,0,8,0,0,500,0,2ms,0,8,0,0,500
,0,2ms,0,10,0,0,500,0,2ms,0,10,0,0,500
,0,2ms,0,12.5,0,0,500,0,2ms,0,12.5,0,0,500
,0,2ms,0,15,0,0,500,0,2ms,0,15,0,0,500
,0,2ms,0,17.5,0,0,500,0,2ms,0,17.5,0,0,500
,0,5ms,0,0,0,0,500,0,5ms,0,0,0,0,500
,0,5ms,0,2,0,0,500,0,5ms,0,2,0,0,500
,0,5ms,0,4,0,0,500,0,5ms,0,4,0,0,500
,0,5ms,0,6,0,0,500,0,5ms,0,6,0,0,500
,0,5ms,0,8,0,0,500,0,5ms,0,8,0,0,500
,0,5ms,0,10,0,0,500,0,5ms,0,10,0,0,500
,0,5ms,0,12.5,0,0,500,0,5ms,0,12.5,0,0,500
,0,5ms,0,15,0,0,500,0,5ms,0,15,0,0,500
,0,5ms,0,17.5,0,0,500,0,5ms,0,17.5,0,0,500
,0,15ms,0,0,0,0,500,0,15ms,0,0,0,0,500
,0,15ms,0,2,0,0,500,0,15ms,0,2,0,0,500
,0,15ms,0,4,0,0,500,0,15ms,0,4,0,0,500
,0,15ms,0,6,0,0,500,0,15ms,0,6,0,0,500
,0,15ms,0,8,0,0,500,0,15ms,0,8,0,0,500
,0,15ms,0,10,0,0,500,0,15ms,0,10,0,0,500
,0,15ms,0,12.5,0,0,500,0,15ms,0,12.5,0,0,500
,0,15ms,0,15,0,0,500,0,15ms,0,15,0,0,500
,0,15ms,0,17.5,0,0,500,0,15ms,0,17.5,0,0,500
,0,35ms,0,0,0,0,500,0,35ms,0,0,0,0,500
,0,35ms,0,2,0,0,500,0,35ms,0,2,0,0,500
,0,35ms,0,4,0,0,500,0,35ms,0,4,0,0,500
,0,35ms,0,6,0,0,500,0,35ms,0,6,0,0,500
,0,35ms,0,8,0,0,500,0,35ms,0,8,0,0,500
,0,35ms,0,10,0,0,500,0,35ms,0,10,0,0,500
,0,35ms,0,12.5,0,0,500,0,35ms,0,12.5,0,0,500
,0,35ms,0,15,0,0,500,0,35ms,0,15,0,0,500
,0,35ms,0,17.5,0,0,500,0,35ms,0,17.5,0,0,500
,0,70ms,0,0,0,0,500,0,70ms,0,0,0,0,500
,0,70ms,0,2,0,0,500,0,70ms,0,2,0,0,500
,0,70ms,0,4,0,0,500,0,70ms,0,4,0,0,500
,0,70ms,0,6,0,0,500,0,70ms,0,6,0,0,500
,0,70ms,0,8,0,0,500,0,70ms,0,8,0,0,500
,0,70ms,0,10,0,0,500,0,70ms,0,10,0,0,500
,0,70ms,0,12.5,0,0,500,0,70ms,0,12.5,0,0,500
,0,70ms,0,15,0,0,500,0,70ms,0,15,0,0,500
,0,70ms,0,17.5,0,0,500,0,70ms,0,17.5,0,0,500
,0,120ms,0,0,0,0,500,0,120ms,0,0,0,0,500
,0,120ms,0,2,0,0,500,0,120ms,0,2,0,0,500
,0,120ms,0,4,0,0,500,0,120ms,0,4,0,0,500
,0,120ms,0,6,0,0,500,0,120ms,0,6,0,0,500
,0,120ms,0,8,0,0,500,0,120ms,0,8,0,0,500
,0,120ms,0,10,0,0,500,0,120ms,0,10,0,0,500
,0,120ms,0,12.5,0,0,500,0,120ms,0,12.5,0,0,500
,0,120ms,0,15,0,0,500,0,120ms,0,15,0,0,500
,0,120ms,0,17.5,0,0,500,0,120ms,0,17.5,0,0,500
,0,190ms,0,0,0,0,500,0,190ms,0,0,0,0,500
,0,190ms,0,2,0,0,500,0,190ms,0,2,0,0,500
,0,190ms,0,4,0,0,500,0,190ms,0,4,0,0,500
,0,190ms,0,6,0,0,500,0,190ms,0,6,0,0,500
,0,190ms,0,8,0,0,500,0,190ms,0,8,0,0,500
,0,190ms,0,10,0,0,500,0,190ms,10,0,0,0,500
,0,190ms,0,12.5,0,0,500,0,190ms,0,12.5,0,0,500
,0,190ms,0,15,0,0,500,0,190ms,0,15,0,0,500
,0,190ms,0,17.5,0,0,500,0,190ms,0,17.5,0,0,500
